상품명,가격,평점,리뷰 수,배송비,할인 전 가격,제공 횟수,1회 가격,할인률
[천안 아산 반찬 정기배송] [나에게 식탁] 프리미엄 반찬 2주 / 총 6회 (3인양) 새벽배송 정기배송,150000,4.95,178,,,,,
굿스푼 닭가슴살 세척 샐러드 외 34종 1주 2주 정기배송 도시락 식단 야채 믹스 배달,5150,4.65,7523,3000,7400,,,0.3041
샐러드 정기배송 저속노화 식단 야채 도시락 구독 점심 배달 당일 배송 2주 주2회 구독,87900,4.86,1238,0,,,,
[샐러드 집중관리] 매주 1회 6개 / 2주 총 12개 샐러드도시락 정기배송,73200,4.69,51,0,,,,
아날로그키친 다이어트 샐러드 도시락 식단 정기배송 배달,29700,5,10,3500,,,,
창원 마산 김해 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 10회,79200,5,1,0,99000,,,0.2
창원 마산 김해 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 20회,158400,4.67,3,0,198000,,,0.2
양많은 냉동도시락 덮밥 6종 정기배송 직장인 점심구독 아침식사 저녁 벌크업 배달 간편식,29900,,,3000,33500,,,0.1075
부산 양산 울산 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 30회,237600,5,8,0,297000,,,0.2
맛있는 식단 고기 많은 12종 12팩 정기배송 1일 1식 아침 점심 간편 도시락 냉동 배달,45600,4.5,4,0,52000,,,0.1231
저당도시락 냉동도시락 점심 반찬배달 직장인 아침 저녁 건강 편의점 정기배송 간편 7종9팩,42400,4.62,13,0,50200,,,0.1554
[성수노루] 매콤 10종 세트 양많은 대용량 직장인 간편 단백질 정기배송,49500,5,4,4000,62600,,,0.2093
[윤식단] 샐러드 정기배송 2주 저속노화 식단 체험팩 도시락 배달 건강 새벽 구독,89900,4.64,1838,0,98900,,,0.091
샐러드 정기배송 저속노화 식단 야채 도시락 구독 점심 배달 당일 배송 4주 주2회 구독,169900,4.89,72,0,,,,
포켓샐러드 골라담는 4주 정기배송 주5팩씩 도시락 배달 구독 다이어트 그린샐러드 외 24종,116000,4.87,255,0,152000,,,0.2368
부산 샐러드 정기배송 20회권 단호박 새벽 배송 도시락,154000,4.97,216,0,200000,,,0.23
양많은 냉동도시락 단백질 12종 아침식사 반찬배달 점심구독 정기배송 저녁 직장인 식단,57800,3,1,0,72000,,,0.1972
샐러드 정기배송 4주식단 배달 야채 도시락 샐러드 주2회 월화(총 16팩),163200,4.82,266,0,500000,,,0.6736
포켓샐러드 1주 정기배송 맛보기 5팩 배달 도시락 구독 다이어트 그린샐러드식단 외 11가지,28300,4.91,499,0,34500,,,0.1797
[풀럽잇] 샐러드 정기배송 2주코스 월수(8팩) 새벽배송 균형잡힌 식단 구독 간편식 도시락,86500,4.87,1799,0,96000,,,0.099
양많은 볶음밥 컵밥 300g 6종12팩 점심구독 정기배송 아침 저녁식사 2주 식단 배달,50900,4.53,15,0,70900,,,0.2821
주 1회 8팩 코스 샐러드 정기배송 도시락 정기구독 유러피안 야채도시락 식단,74200,,,0,106000,,,0.3
[3주 식단] 주1회 10팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,324000,5,1,0,447800,,,0.2765
대전/세종/계룡 바오프레쉬 샐러드 정기배송 배달 도시락 식단 체험판 (1회2팩),24000,4.89,28,0,26000,,,0.0769
[성수노루] 맵달 치킨마요 9종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,59800,,,4000,67900,,,0.1193
[샐러드구역] 부산/양산 샐러드 새벽 정기 배송 본도시락 10회권,90000,5,4,0,100000,,,0.1
포켓샐러드 골라담는 2주 정기배송 주4팩씩 도시락 배달 다이어트식단 그린샐러드 외 19종,47800,4.78,118,0,60800,,,0.2138
헬씨도시락 2식 4주 정기배송/대전 샐러드 정기배송/대전샐러드/대전 샐러드 새벽배송/대전다이어트,320000,4.95,20,0,,,,
임당식단 - 2일 식단 x 2주 정기 구독 (총 4회),204000,5,2,0,228480,,,0.1071
부산 샐러드정기배송 단체도시락 30회권,231000,4.83,18,0,300000,,,0.23
[샐러드판다] 두유면 샐러드 도시락 정기 구독 들깨 깻잎 두유면 샐러드 외 2종,6500,,,3000,,,,
[풀럽잇] 샐러드정기배송 4주코스 월수(16팩) 새벽배송 균형잡힌 식단 구독 간편식 도시락,170000,4.91,1288,0,192000,,,0.1146
[샐러드구역] 부산/양산 샐러드 새벽 정기 배송 본도시락 20회권,180000,5,1,0,200000,,,0.1
임당식단 - 5일 식단 x 2주 정기 구독 (총 10회),480000,4.57,7,0,576000,,,0.1667
[9주 식단] 주1회 5팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,465100,5,1,0,662700,,,0.2982
[3주 식단] 주1회 5팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,161700,4.45,11,0,221300,,,0.2693
포켓샐러드 2주 정기배송 주5팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,56500,4.8,161,0,69000,,,0.1812
대전/세종/계룡 샐러드정기배송 2주 패키지 월 수(8팩) 식단 새벽 배달 도시락,72000,4.91,351,0,,,,
샐러드 정기배송 저속노화 식단 야채 도시락 구독 점심 배달 당일 배송 1주 배송,46680,4.82,169,4000,,,,
전국 택배 다이어트 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 배송 6회,95040,4.75,4,0,118800,,,0.2
헬씨도시락 2식2주 정기배송/대전 샐러드 정기배송/ 대전샐러드/ 대전 샐러드 새벽배송/ 대전다이어트,170000,4.67,9,0,,,,
홀리셔스 샐러드 도시락 5종 5팩 정기배송 박스 밀키트 야채,29900,4.67,9,0,69900,,,0.5722
부산 전지역 양산 김해 정기배송 한식 당일제조 맛있는 도시락 배달,7500,,,0,,,,
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 40회,316800,5,1,0,396000,,,0.2
임당식단 - 3일 식단 x 2주 정기 구독 (총 6회),297000,3,1,0,341550,,,0.1304
헬씨도시락 3일체험 정기배송/대전 샐러드 정기배송/ 대전샐러드/ 대전 샐러드 새벽배송/ 대전다이어트,29000,4.94,33,0,,,,
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 30회,223200,4.5,2,0,279000,,,0.2
샐러드 정기배송 저속노화 식단 야채 도시락 구독 점심 배달 당일 배송 3주 주2회 구독,129460,4.92,24,0,,,,
[2주1일1끼][1주1일2끼] 도시락 밥 반찬 배송 배달 정기 구독 주문 가정식 건강식 일주일 밑반찬 종류,99000,4.7,97,8000,120000,,,0.175
대전/세종/계룡 샐러드정기배송 4주 패키지 월 수 (16팩) 다이어트 식단 새벽 배달 도시락 구독,142000,4.76,34,0,,,,
4구 한달 점심구독 6종24팩 단백질 정기배송 반찬배달 매일 식단 아침식사 저녁 양많은,105800,,,0,126000,,,0.1603
부산 양산 울산 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 40회,316800,5,3,0,396000,,,0.2
부산샐러드정기배송 구독 10회권 새벽 도시락 행사,80000,4.92,64,0,100000,,,0.2
대전/세종/계룡 샐러드정기배송 2주 패키지 월 수 금(12팩) 다이어트 식단 새벽 도시락,109200,5,17,0,,,,
샐러드 정기배송 매일 2주 식단 얌샐러드 구독 배달 야채도시락 새벽배송 주5회,200000,4.75,20,0,250000,,,0.2
포켓샐러드 골라담는 4주 정기배송 주6팩씩 도시락 식단 구독 배달 다이어트식단,136380,4.79,66,0,182400,,,0.2523
부산 샌드위치 과일 도시락 단체주문 정기배송 에그 샌드위치 만들기 단청수제청 단청푸드,39000,4.89,9,5000,50000,,,0.22
창원 마산 김해 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 20회,158400,,,0,198000,,,0.2
포켓샐러드 골라담는 1주 정기배송 주10팩 맛보기 도시락 배달 포케 구독 다이어트식단,54500,4.98,40,0,76000,,,0.2829
전국 택배 다이어트 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 배송 30회,475200,,,0,594000,,,0.2
창원 마산 김해 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 30회,223200,,,0,279000,,,0.2
포켓샐러드 4주 정기배송 주6팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,136400,4.94,17,0,162800,,,0.1622
더 온담 보온보냉 도시락가방 핑크 2개입 보온밥통 수능도시락통 도시락정기구독,14640,,,0,18310,,,0.2004
포켓샐러드 골라담는 8주 정기배송 주5팩씩 도시락 다이어트식단 배달 그린샐러드 외 24종,232000,5,1,0,304000,,,0.2368
나의홈스윗홈 친환경 도시락 도시락정기배송 일회용포장 친환경도시락통전자렌지 펄프용기,1440,,,3000,1800,,,0.2
강남케이터링 샌드위치도시락 세트 조식케이터링 회사간식 단체도시락 조식 정기배송,9500,,,20000,,,,
창원 마산 김해 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 40회,316800,,,0,396000,,,0.2
포켓샐러드 골라담는 4주 정기배송 주4팩씩 도시락 배달 포케 구독 다이어트식단 점심샐러드,95600,4.9,40,0,121600,,,0.2138
"[부산무료배송] 샐러드 단체,세미나,연회,동호회 정기배송가능",9900,,,0,11900,,,0.1681
샐러드 정기배송 [패키지] 도시락 구독 배달 저속노화 새벽 샐러데이블 월정기권 16팩 (월2팩+목2팩) X 3인,489400,5,1,0,,,,
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 6회,95040,,,0,118800,,,0.2
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 30회,475200,,,0,594000,,,0.2
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 24회,380160,,,0,475200,,,0.2
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 18회,285120,,,0,356400,,,0.2
포켓샐러드 골라담는 6주 정기배송 주3팩씩 도시락 다이어트식단 그린샐러드 외 19종,112800,5,3,0,136800,,,0.1754
포켓샐러드 4주 정기배송 주3팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 9가지,75200,4.74,35,0,88400,,,0.1493
부산샐러드 새벽 정기배송 구독 5회권 단체도시락 행사,42500,5,6,0,100000,,,0.575
포켓샐러드 골라담는 1주 정기배송 주5팩 맛보기 도시락 배달 포케 구독 다이어트식단,29000,5,8,0,34500,,,0.1594
포켓샐러드 골라담는 8주 정기배송 주4팩씩 배달 도시락 다이어트식단 그린샐러드 외 19종,191200,5,5,0,243200,,,0.2138
포켓샐러드 4주 정기배송 주4팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,95600,5,5,0,113200,,,0.1555
포켓샐러드 골라담는 6주 정기배송 주6팩씩 도시락 배달 다이어트식단 그린샐러드 외 24종,204600,5,2,0,273600,,,0.2522
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 12회,190080,,,0,237600,,,0.2
포켓샐러드 2주 정기배송 주4팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,47800,5,4,0,56600,,,0.1555
"[부산무료배송] 샐러드&음료 단체,세미나,연회,동호회 정기배송가능",11900,,,0,13900,,,0.1439
[저스트그린] 정기배송 프리미엄 토핑 샐러드 7종 1주 체험 식단 / 야채 식단 도시락 당일 신선 간편 데일리 구독 7팩 일주일식단,48600,5,10,0,53000,,,0.083
포켓샐러드 골라담는 8주 정기배송 주3팩씩 도시락 배달 다이어트식단 그린샐러드 외 19종,150390,4.75,8,0,182400,,,0.1755
밀투고 샌드위치 정기배송 식단 배송 직작인 도시락 구독 배달 2주 [주 3개],46800,5,2,0,59500,,,0.2134
포켓샐러드 골라담는 4주 정기배송 주10팩씩 도시락 배달 포케 구독 다이어트식단 점심샐러드,218000,4.94,36,0,304000,,,0.2829
포켓샐러드 8주 정기배송 주6팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,272800,5,4,0,325600,,,0.1622
"[부산무료배송] 포케 단체,세미나,연회,동호회 정기배송가능",9900,,,0,11900,,,0.1681
"[부산무료배송] 랩 샌드위치 단체,세미나,연회,동호회 정기배송가능",7900,,,0,9900,,,0.202
포켓샐러드 골라담는 6주 정기배송 주10팩씩 도시락 배달 다이어트 그린샐러드 외 24종,327000,5,2,0,456000,,,0.2829
포켓샐러드 골라담는 8주 정기배송 주10팩씩 도시락 배달 다이어트식단 그린샐러드 외 24종,436000,5,2,0,608000,,,0.2829
"[부산무료배송] 포케&음료 단체,세미나,연회,동호회 정기배송가능",11900,,,0,13900,,,0.1439
"[부산무료배송] 랩 샌드위치&음료 단체,세미나,연회,동호회 정기배송가능",9900,,,0,11900,,,0.1681
포켓샐러드 8주 정기배송 주5팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,232000,5,8,0,276000,,,0.1594
포켓샐러드 2주 정기배송 주3팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 9가지,37600,5,1,0,44200,,,0.1493
"[주 3일, 5일 선택 가능] 3첩/5첩/7첩반찬 정기배송 (1일 체험 가능)",8800,,,0,9900,,,0.1111
포켓샐러드 6주 정기배송 주5팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,174000,5,2,0,207000,,,0.1594
포켓샐러드 8주 정기배송 주3팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,150400,5,1,0,176800,,,0.1493
포켓샐러드 6주 정기배송 주4팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,143400,5,1,0,169800,,,0.1555
포켓샐러드 6주 정기배송 주3팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 9가지,112800,5,1,0,132600,,,0.1493
샐러드 단체주문 정기배송 구독 점심 식단 배달 새벽 도시락 [샐러데이블],49500,,,0,,,,
밀투고 샌드위치 정기배송 식단 배송 직작인 도시락 구독 배달 4주 [주 6개],180000,5,5,0,239500,,,0.2484
밀투고 샌드위치 정기배송 식단 배송 직작인 도시락 구독 배달 4주 [주 3개],91200,5,1,0,119500,,,0.2368
포켓샐러드 골라담는 6주 정기배송 주5팩씩 도시락 배달 다이어트식단 그린샐러드 외 24종,174000,4.25,4,0,228000,,,0.2368
[샐러드구역] 부산/양산 샐러드 새벽 정기 배송 본도시락 30회권,270000,5,1,0,300000,,,0.1
포켓샐러드 골라담는 8주 정기배송 주6팩씩 도시락 배달 다이어트식단 그린샐러드 외 24종,272760,3,1,0,364800,,,0.2523
샐러드정기배송 샐러드구독 5종10팩 식단 리코타 닭가슴살 유러피안 주문 배달 도시락 아침,51900,4.2,5,0,65000,,,0.2015
밀투고 샌드위치 정기배송 식단 배송 직작인 도시락 구독 배달 3주 [주 3개],69300,5,1,0,89500,,,0.2257
대전 샐러드 정기배송 세종 샐러드 새벽배송 배달 유러피안채소 오렌지보울 (4주16팩),136000,4.93,606,0,200000,,,0.32
